feature,category,shap_mean_abs_mean,shap_mean_abs_std,rank_shap_mean_abs,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
tqwt_skewnessValue_dec_29,TQWT,0.0021090233,0.00471592,227.0,0.9758279927786497,252,0,False,False
mean_MFCC_7th_coef,MFCC,0.0020975755,0.0029556917,228.0,0.7733665997897692,252,0,False,False
tqwt_medianValue_dec_6,TQWT,0.0020785343,0.0030923337,229.0,8.69080043396495e-06,251,0,False,False
tqwt_entropy_log_dec_18,TQWT,0.0020695888,0.004627741,230.0,11018.302519649656,252,0,False,False
tqwt_medianValue_dec_15,TQWT,0.002062515,0.004611924,231.0,0.0010993603289846385,252,0,False,False
tqwt_TKEO_mean_dec_35,TQWT,0.0020401562,0.004561928,232.0,0.014486362773584768,251,0,False,False
tqwt_kurtosisValue_dec_31,TQWT,0.002031298,0.0045421203,233.0,16.037014732622993,252,0,False,False
tqwt_minValue_dec_19,TQWT,0.0020012578,0.004474949,234.0,0.324530636933468,252,0,False,False
tqwt_TKEO_mean_dec_9,TQWT,0.0019959921,0.0044631744,235.0,0.0005385639703832817,252,0,False,False
tqwt_medianValue_dec_18,TQWT,0.0019524168,0.0026871266,236.0,0.0006802083723792346,252,0,False,False
tqwt_entropy_shannon_dec_16,TQWT,0.0019511547,0.0043629147,237.0,504.9913671327967,252,0,False,False
tqwt_energy_dec_30,TQWT,0.0019463978,0.004352278,238.0,0.004745357458337687,251,0,False,False
tqwt_meanValue_dec_34,TQWT,0.0019408412,0.004339853,239.0,4.071259557301223e-19,247,0,False,True
tqwt_meanValue_dec_7,TQWT,0.0019181505,0.0042891144,240.0,1.873717242756284e-20,252,0,False,True
tqwt_energy_dec_8,TQWT,0.0019171176,0.0042868056,241.0,0.0028889583979849224,252,0,False,False
tqwt_medianValue_dec_2,TQWT,0.0019072592,0.00303916,242.0,2.235990351654676e-06,252,0,False,False
det_LT_entropy_shannon_3_coef,Wavelet,0.0019037994,0.0042570247,243.0,0.7992280993454524,252,0,False,False
tqwt_skewnessValue_dec_15,TQWT,0.0018572885,0.0025459614,244.0,0.019024547247342816,252,0,False,False
tqwt_TKEO_std_dec_25,TQWT,0.0018353587,0.004103987,245.0,0.21517152950789153,251,0,False,False
mean_10th_delta,Delta / Delta-delta,0.0018336797,0.0041002324,246.0,0.0016521593786676463,252,0,False,False
tqwt_entropy_log_dec_34,TQWT,0.0018271629,0.0040856604,247.0,800.7077750855331,252,0,False,False
std_12th_delta,Delta / Delta-delta,0.0017148234,0.0038344616,248.0,0.008286445446454242,252,0,False,False
tqwt_TKEO_std_dec_21,TQWT,0.0016918583,0.00378311,249.0,0.05441643078724491,252,0,False,False
std_1st_delta,Delta / Delta-delta,0.0016913458,0.0037819643,250.0,0.034655887351023706,252,0,False,False
tqwt_TKEO_std_dec_20,TQWT,0.0016646732,0.0022795214,251.0,0.07281173724697083,252,0,False,False
tqwt_entropy_log_dec_9,TQWT,0.0016541851,0.0036988703,252.0,61088.5487438424,252,0,False,False
det_TKEO_std_1_coef,Other,0.0016175272,0.0036169009,253.0,1377.2916541503412,252,0,False,False
tqwt_kurtosisValue_dec_14,TQWT,0.0016162513,0.0036140478,254.0,2.0597153892034994,251,0,False,False
tqwt_TKEO_mean_dec_27,TQWT,0.0015852082,0.0035446335,255.0,0.878890019549485,252,0,False,False
std_MFCC_10th_coef,MFCC,0.0015666891,0.0023566925,256.0,0.06517429308432153,252,0,False,False
tqwt_TKEO_mean_dec_3,TQWT,0.0015633747,0.003495812,257.0,5.1879844877317165e-05,247,0,False,False
tqwt_medianValue_dec_35,TQWT,0.0015540814,0.0034750318,258.0,0.0011533428511042042,252,0,False,False
det_entropy_shannon_5_coef,Wavelet,0.0015377476,0.0034385081,259.0,508628.05207926064,252,0,False,False
tqwt_skewnessValue_dec_1,TQWT,0.0015357254,0.0021672337,260.0,6.048271192427671,252,0,False,False
tqwt_entropy_log_dec_7,TQWT,0.0015087358,0.0033736357,261.0,99428.90493287287,252,0,False,False
det_entropy_log_8_coef,Wavelet,0.001504392,0.0033639227,262.0,28.30385753607218,252,0,False,False
app_entropy_shannon_3_coef,Wavelet,0.0015033463,0.0033615846,263.0,79414250.991226,252,0,False,False
tqwt_meanValue_dec_19,TQWT,0.0014822242,0.0033143542,264.0,9.57762728915303e-19,251,0,False,True
tqwt_TKEO_std_dec_23,TQWT,0.0014721494,0.003291826,265.0,0.09963041210697704,252,0,False,False
PPE,Nonlinear,0.0014676421,0.002564944,266.0,0.11975199146281733,252,0,False,False
mean_6th_delta,Delta / Delta-delta,0.0014639526,0.0032734976,267.0,0.002419019153569761,252,0,False,False
tqwt_kurtosisValue_dec_16,TQWT,0.0014618149,0.003268717,268.0,1.148412061120188,252,0,False,False
tqwt_stdValue_dec_33,TQWT,0.0014334313,0.0032052498,269.0,0.05442805797147073,252,0,False,False
mean_1st_delta,Delta / Delta-delta,0.0014210322,0.0031775248,270.0,0.003398704052221194,252,0,False,False
app_entropy_shannon_5_coef,Wavelet,0.0014078657,0.0019332055,271.0,183249497.61009693,252,0,False,False
tqwt_TKEO_mean_dec_23,TQWT,0.0014014752,0.0031337938,272.0,0.17006966234367005,252,0,False,False
mean_MFCC_0th_coef,MFCC,0.0013431445,0.0030033623,273.0,2.127666396592989,252,0,False,False
det_LT_entropy_shannon_5_coef,Wavelet,0.0013307093,0.0029755565,274.0,2.710752778966411,252,0,False,False
meanAutoCorrHarmonicity,HNR / Harmonicity,0.0013183833,0.0029479947,275.0,0.05936149591717223,252,0,False,False
tqwt_stdValue_dec_36,TQWT,0.0013136307,0.0029373677,276.0,0.08343143958614506,252,0,False,False
tqwt_entropy_shannon_dec_4,TQWT,0.0012956228,0.0028971005,277.0,28.73416550679212,252,0,False,False
tqwt_energy_dec_33,TQWT,0.0012383553,0.0019619367,278.0,0.006074726430650559,251,0,False,False
app_LT_TKEO_std_4_coef,Wavelet,0.0012234254,0.0027356623,279.0,11.926963192750385,252,0,False,False
app_LT_TKEO_mean_1_coef,Wavelet,0.0011902477,0.0026614747,280.0,0.14122723954393165,251,0,False,False
det_TKEO_mean_5_coef,Other,0.0011553419,0.002583423,281.0,2115.2177307129255,252,0,False,False
tqwt_skewnessValue_dec_2,TQWT,0.0011337384,0.001559195,282.0,2.0450879208562367,252,0,False,False
tqwt_kurtosisValue_dec_30,TQWT,0.0011201889,0.0025048184,283.0,20.016242917862634,252,0,False,False
tqwt_entropy_shannon_dec_35,TQWT,0.0011008724,0.0024616255,284.0,3.910448067496541,252,0,False,False
tqwt_minValue_dec_13,TQWT,0.0010919215,0.0024416107,285.0,0.14875148581775408,252,0,False,False
mean_5th_delta_delta,Delta / Delta-delta,0.0010806117,0.0024163213,286.0,0.0002525407703179635,252,0,False,False
mean_8th_delta,Delta / Delta-delta,0.0010750273,0.0024038341,287.0,0.0019122014040383823,252,0,False,False
meanPeriodPulses,Other,0.0010715774,0.00239612,288.0,0.0016966578228028895,252,0,False,False
tqwt_maxValue_dec_17,TQWT,0.0010531049,0.0023548142,289.0,0.3437798151124321,252,0,False,False
tqwt_meanValue_dec_30,TQWT,0.0010448403,0.002336334,290.0,2.314822788316234e-19,249,0,False,True
tqwt_TKEO_mean_dec_33,TQWT,0.0010371145,0.0023190586,291.0,0.08092436975875965,251,0,False,False
mean_delta_delta_log_energy,Delta / Delta-delta,0.0010319066,0.0023074131,292.0,0.00029097370415902447,252,0,False,False
GNE_SNR_TKEO,Nonlinear,0.0010248511,0.0022916365,293.0,0.053902961034314835,252,0,False,False
app_LT_TKEO_mean_2_coef,Wavelet,0.0010220158,0.0022852968,294.0,0.4389751506707319,251,0,False,False
tqwt_medianValue_dec_19,TQWT,0.0010197049,0.0022801294,295.0,0.0024037473018188194,252,0,False,False
tqwt_meanValue_dec_21,TQWT,0.0010133756,0.0022659767,296.0,5.730057692717353e-19,252,0,False,True
tqwt_entropy_log_dec_29,TQWT,0.0010072903,0.0022523697,297.0,1831.023542001729,252,0,False,False
tqwt_energy_dec_36,TQWT,0.0010020009,0.002240542,298.0,0.006994154165165415,250,0,False,False
app_LT_entropy_log_5_coef,Wavelet,0.0010018288,0.0022401572,299.0,2.6702415358790104,252,0,False,False
tqwt_maxValue_dec_14,TQWT,0.0009956767,0.002226401,300.0,0.20511170843624107,252,0,False,False
tqwt_meanValue_dec_22,TQWT,0.0009727922,0.0021752298,301.0,7.136519862238269e-19,250,0,False,True
tqwt_energy_dec_3,TQWT,0.00096402614,0.002155628,302.0,0.003363431282192897,252,0,False,False
det_entropy_log_1_coef,Wavelet,0.00096341595,0.0021542634,303.0,187.46419599956005,252,0,False,False
det_LT_TKEO_mean_5_coef,Wavelet,0.0009482242,0.0021202941,304.0,0.0979294794396293,252,0,False,False
mean_MFCC_11th_coef,MFCC,0.00094687723,0.0021172818,305.0,0.5552819057195407,252,0,False,False
std_delta_delta_0th,Delta / Delta-delta,0.0009308454,0.0020814338,306.0,0.019981523102260687,252,0,False,False
app_entropy_shannon_1_coef,Wavelet,0.0008796322,0.0019669174,307.0,51072727.349912755,252,0,False,False
tqwt_meanValue_dec_8,TQWT,0.0008763807,0.0019596468,308.0,1.5750576514552318e-20,252,0,False,True
det_LT_entropy_shannon_10_coef,Wavelet,0.0008483069,0.0018968721,309.0,88.5979907371545,252,0,False,False
mean_6th_delta_delta,Delta / Delta-delta,0.00084258354,0.0018840741,310.0,0.00028144697559633514,252,0,False,False
mean_MFCC_9th_coef,MFCC,0.00081987353,0.001833293,311.0,0.783072214889216,252,0,False,False
tqwt_energy_dec_14,TQWT,0.0008162289,0.0018251434,312.0,0.03765024376008143,252,0,False,False
tqwt_energy_dec_35,TQWT,0.00081511243,0.0018226469,313.0,0.0013412582610363216,251,0,False,False
mean_12th_delta_delta,Delta / Delta-delta,0.00078983017,0.0017661139,314.0,0.00016842216610555853,252,0,False,False
VFER_entropy,Wavelet,0.00078773143,0.0017614211,315.0,5.5602092755846835,252,0,False,False
tqwt_entropy_shannon_dec_33,TQWT,0.00078705745,0.001759914,316.0,18.265499094830542,252,0,False,False
tqwt_medianValue_dec_13,TQWT,0.00075865997,0.0016964154,317.0,0.00010194166317496506,251,0,False,False
Ed_2_coef,Wavelet,0.0007497716,0.0016765402,318.0,0.016368814810962556,252,0,False,False
tqwt_meanValue_dec_26,TQWT,0.00072918175,0.0016305,319.0,1.1767716787642037e-18,249,0,False,True
tqwt_skewnessValue_dec_21,TQWT,0.0007250053,0.0016211611,320.0,0.00664897571309784,252,0,False,False
tqwt_energy_dec_13,TQWT,0.0007206303,0.0016113783,321.0,0.02702087895035819,252,0,False,False
std_MFCC_9th_coef,MFCC,0.0007199439,0.0016098435,322.0,0.06446033007137981,252,0,False,False
locShimmer,Shimmer,0.00070039387,0.0015661282,323.0,0.037521988662524014,250,0,False,False
tqwt_entropy_log_dec_21,TQWT,0.0006659271,0.0014890583,324.0,5524.83422738555,252,0,False,False
tqwt_TKEO_mean_dec_17,TQWT,0.0006642424,0.0014852912,325.0,0.14550459877359254,252,0,False,False
tqwt_energy_dec_12,TQWT,0.000660532,0.0014769945,326.0,0.011263559896773849,252,0,False,False
tqwt_kurtosisValue_dec_25,TQWT,0.0006356889,0.0014214435,327.0,28.261632673386018,247,0,False,False
tqwt_minValue_dec_9,TQWT,0.00063192804,0.001413034,328.0,0.04884402951438208,252,0,False,False
mean_8th_delta_delta,Delta / Delta-delta,0.0006253867,0.0013984073,329.0,0.00020534225606019718,252,0,False,False
tqwt_kurtosisValue_dec_29,TQWT,0.00059171283,0.0013231101,330.0,25.83958601694459,252,0,False,False
tqwt_medianValue_dec_3,TQWT,0.00055773044,0.0012471231,331.0,2.524975158290862e-06,252,0,False,False
det_LT_TKEO_std_3_coef,Wavelet,0.00055267615,0.0012358214,332.0,0.0694125158919573,246,0,False,False
tqwt_energy_dec_20,TQWT,0.0005351144,0.0011965521,333.0,0.041929183848730546,251,0,False,False
IMF_SNR_TKEO,Other,0.00051812606,0.001158565,334.0,2.0112712406686577,252,0,False,False
tqwt_energy_dec_19,TQWT,0.0005071268,0.00113397,335.0,0.06864963438808644,252,0,False,False
tqwt_minValue_dec_31,TQWT,0.0005033639,0.001125556,336.0,0.1359808823524721,252,0,False,False
tqwt_minValue_dec_4,TQWT,0.00050210895,0.0011227496,337.0,0.029630864508004777,252,0,False,False
tqwt_entropy_shannon_dec_24,TQWT,0.00049928535,0.001116436,338.0,294.4447410054517,252,0,False,False
tqwt_meanValue_dec_1,TQWT,0.00049774745,0.0011129972,339.0,3.591582572663579e-21,250,0,False,True
tqwt_skewnessValue_dec_20,TQWT,0.00049691263,0.0011111305,340.0,0.007786934466010251,252,0,False,False
det_entropy_shannon_1_coef,Wavelet,0.00049138645,0.0010987734,341.0,466024.1086960616,252,0,False,False
app_TKEO_std_4_coef,Other,0.00047504102,0.001062224,342.0,86719.79275424565,252,0,False,False
tqwt_minValue_dec_22,TQWT,0.00046129437,0.0010314856,343.0,0.2372502605854683,252,0,False,False
tqwt_meanValue_dec_24,TQWT,0.0003931377,0.00087908265,344.0,5.036225157673655e-19,249,0,False,True
Ed2_5_coef,Wavelet,0.00039038516,0.0008729278,345.0,0.0006086698965643642,250,0,False,False
Ed_5_coef,Wavelet,0.00037741073,0.0008439161,346.0,0.01867383703195826,250,0,False,False
det_LT_entropy_shannon_4_coef,Wavelet,0.00035970318,0.00080432073,347.0,1.4484434094582428,252,0,False,False
app_LT_entropy_shannon_7_coef,Wavelet,0.0,0.0,550.0,51314.1546359014,252,0,False,False
app_LT_entropy_shannon_6_coef,Wavelet,0.0,0.0,550.0,25188.804138729363,252,0,False,False
app_LT_entropy_shannon_5_coef,Wavelet,0.0,0.0,550.0,13618.94038570563,252,0,False,False
app_LT_entropy_shannon_4_coef,Wavelet,0.0,0.0,550.0,8120.250870731071,252,0,False,False
app_LT_entropy_shannon_3_coef,Wavelet,0.0,0.0,550.0,5414.393480410599,252,0,False,False
app_LT_entropy_shannon_2_coef,Wavelet,0.0,0.0,550.0,3919.8348211064304,252,0,False,False
app_LT_entropy_shannon_1_coef,Wavelet,0.0,0.0,550.0,3073.6849075515656,252,0,False,False
det_LT_TKEO_std_10_coef,Wavelet,0.0,0.0,550.0,3.7771859366025584,252,0,False,False
det_LT_TKEO_std_9_coef,Wavelet,0.0,0.0,550.0,0.2867762177629551,252,0,False,False
det_LT_TKEO_std_8_coef,Wavelet,0.0,0.0,550.0,1.9210108373890828,252,0,False,False
det_LT_TKEO_std_7_coef,Wavelet,0.0,0.0,550.0,0.4504815627058237,252,0,False,False
det_LT_TKEO_std_6_coef,Wavelet,0.0,0.0,550.0,0.34948803650358967,251,0,False,False
det_LT_TKEO_std_5_coef,Wavelet,0.0,0.0,550.0,0.2210888574999206,252,0,False,False
app_LT_TKEO_mean_9_coef,Wavelet,0.0,0.0,550.0,187.26961396217365,252,0,False,False
app_LT_TKEO_mean_8_coef,Wavelet,0.0,0.0,550.0,93.65569631560365,252,0,False,False
app_LT_TKEO_mean_7_coef,Wavelet,0.0,0.0,550.0,44.00791329708279,252,0,False,False
app_LT_TKEO_mean_6_coef,Wavelet,0.0,0.0,550.0,20.75967101140491,252,0,False,False
app_LT_entropy_log_10_coef,Wavelet,0.0,0.0,550.0,1.5792914326292216,251,0,False,False
app_LT_entropy_log_9_coef,Wavelet,0.0,0.0,550.0,1.5794335207436805,251,0,False,False
app_LT_entropy_log_8_coef,Wavelet,0.0,0.0,550.0,1.5794703455273882,251,0,False,False
app_LT_entropy_log_7_coef,Wavelet,0.0,0.0,550.0,1.792407678187814,252,0,False,False
app_LT_entropy_log_6_coef,Wavelet,0.0,0.0,550.0,1.970023928455464,252,0,False,False
app_LT_entropy_log_4_coef,Wavelet,0.0,0.0,550.0,4.222423204185521,251,0,False,False
app_LT_entropy_log_3_coef,Wavelet,0.0,0.0,550.0,7.100194666396029,252,0,False,False
app_LT_entropy_log_2_coef,Wavelet,0.0,0.0,550.0,12.010904904413492,252,0,False,False
app_LT_entropy_log_1_coef,Wavelet,0.0,0.0,550.0,20.84533933473774,252,0,False,False
tqwt_energy_dec_10,TQWT,0.0,0.0,550.0,0.005883157333919306,252,0,False,False
tqwt_energy_dec_9,TQWT,0.0,0.0,550.0,0.003386445185482601,252,0,False,False
tqwt_energy_dec_2,TQWT,0.0,0.0,550.0,0.0025221809312868846,250,0,False,False
app_LT_TKEO_std_10_coef,Wavelet,0.0,0.0,550.0,986.8164979127004,252,0,False,False
app_LT_TKEO_std_9_coef,Wavelet,0.0,0.0,550.0,492.1836280332233,252,0,False,False
app_LT_TKEO_std_8_coef,Wavelet,0.0,0.0,550.0,247.5167441077149,252,0,False,False
app_LT_TKEO_std_7_coef,Wavelet,0.0,0.0,550.0,119.91111670886181,252,0,False,False
app_LT_TKEO_std_6_coef,Wavelet,0.0,0.0,550.0,58.48165209552774,252,0,False,False
app_LT_TKEO_std_5_coef,Wavelet,0.0,0.0,550.0,27.116006503890848,252,0,False,False
app_LT_TKEO_std_3_coef,Wavelet,0.0,0.0,550.0,5.06692392701911,252,0,False,False
app_LT_TKEO_std_2_coef,Wavelet,0.0,0.0,550.0,2.0817772804861208,251,0,False,False
app_LT_TKEO_std_1_coef,Wavelet,0.0,0.0,550.0,0.8237457785227763,252,0,False,False
app_LT_TKEO_mean_10_coef,Wavelet,0.0,0.0,550.0,374.3969589311044,252,0,False,False
det_entropy_shannon_6_coef,Wavelet,0.0,0.0,550.0,707616.9356206914,252,0,False,False
det_entropy_shannon_4_coef,Wavelet,0.0,0.0,550.0,617929.1286675667,252,0,False,False
det_entropy_shannon_3_coef,Wavelet,0.0,0.0,550.0,503224.4829311353,252,0,False,False
det_entropy_shannon_2_coef,Wavelet,0.0,0.0,550.0,471999.53331105824,252,0,False,False
Ed_10_coef,Wavelet,0.0,0.0,550.0,0.10864423514878582,252,0,False,False
Ed_9_coef,Wavelet,0.0,0.0,550.0,0.015122402231430696,251,0,False,False
Ed_8_coef,Wavelet,0.0,0.0,550.0,0.05139405254092171,251,0,False,False
Ed_7_coef,Wavelet,0.0,0.0,550.0,0.012496603836019499,252,0,False,False
Ed_6_coef,Wavelet,0.0,0.0,550.0,0.012991525361014854,251,0,False,False
tqwt_energy_dec_32,TQWT,0.0,0.0,550.0,0.004790647237772752,251,0,False,False
tqwt_energy_dec_31,TQWT,0.0,0.0,550.0,0.0027629258525653836,250,0,False,False
tqwt_energy_dec_29,TQWT,0.0,0.0,550.0,0.028067276410913056,252,0,False,False
tqwt_energy_dec_24,TQWT,0.0,0.0,550.0,0.08640103879984296,252,0,False,False
tqwt_energy_dec_23,TQWT,0.0,0.0,550.0,0.0582351339540457,252,0,False,False
tqwt_energy_dec_22,TQWT,0.0,0.0,550.0,0.04028932290832239,251,0,False,False
tqwt_energy_dec_18,TQWT,0.0,0.0,550.0,0.08370314679160336,252,0,False,False
det_entropy_shannon_9_coef,Wavelet,0.0,0.0,550.0,383806.14460988616,252,0,False,False
det_entropy_shannon_8_coef,Wavelet,0.0,0.0,550.0,3575285.1071688747,252,0,False,False
det_entropy_shannon_7_coef,Wavelet,0.0,0.0,550.0,865091.4138097117,252,0,False,False
tqwt_entropy_shannon_dec_15,TQWT,0.0,0.0,550.0,450.7331351833436,252,0,False,False
tqwt_entropy_shannon_dec_14,TQWT,0.0,0.0,550.0,423.24859202925586,252,0,False,False
tqwt_entropy_shannon_dec_13,TQWT,0.0,0.0,550.0,351.7856662680903,252,0,False,False
tqwt_entropy_shannon_dec_10,TQWT,0.0,0.0,550.0,56.14042510809983,252,0,False,False
tqwt_entropy_shannon_dec_9,TQWT,0.0,0.0,550.0,49.48519945214094,252,0,False,False
tqwt_entropy_shannon_dec_8,TQWT,0.0,0.0,550.0,51.95999216332677,252,0,False,False
tqwt_entropy_shannon_dec_7,TQWT,0.0,0.0,550.0,38.32515349909965,252,0,False,False
tqwt_entropy_shannon_dec_5,TQWT,0.0,0.0,550.0,40.98641988734852,252,0,False,False
tqwt_entropy_shannon_dec_2,TQWT,0.0,0.0,550.0,12.274809883851015,252,0,False,False
tqwt_energy_dec_34,TQWT,0.0,0.0,550.0,0.0026505378671741087,251,0,False,False
tqwt_entropy_shannon_dec_30,TQWT,0.0,0.0,550.0,12.78578321562163,252,0,False,False
tqwt_entropy_shannon_dec_29,TQWT,0.0,0.0,550.0,315.3178287323248,252,0,False,False
tqwt_entropy_shannon_dec_28,TQWT,0.0,0.0,550.0,228.5697437098619,252,0,False,False
tqwt_entropy_shannon_dec_22,TQWT,0.0,0.0,550.0,151.1412697480952,252,0,False,False
tqwt_entropy_shannon_dec_21,TQWT,0.0,0.0,550.0,180.4860249103344,252,0,False,False
tqwt_entropy_shannon_dec_20,TQWT,0.0,0.0,550.0,206.1696031960179,252,0,False,False
tqwt_entropy_shannon_dec_19,TQWT,0.0,0.0,550.0,301.9963026806481,252,0,False,False
tqwt_entropy_shannon_dec_18,TQWT,0.0,0.0,550.0,388.31125490265174,252,0,False,False
Ed_3_coef,Wavelet,0.0,0.0,550.0,0.013950701948391622,251,0,False,False
Ed_1_coef,Wavelet,0.0,0.0,550.0,0.01873015438746559,245,0,False,False
Ea,Other,0.0,0.0,550.0,0.24966313121115719,171,0,False,False
std_12th_delta_delta,Delta / Delta-delta,0.0,0.0,550.0,0.003797504165142989,251,0,False,False
std_3rd_delta_delta,Delta / Delta-delta,0.0,0.0,550.0,0.009926409969086253,252,0,False,False
tqwt_entropy_log_dec_8,TQWT,0.0,0.0,550.0,76358.05872555726,252,0,False,False
tqwt_entropy_log_dec_5,TQWT,0.0,0.0,550.0,179239.26646199767,252,0,False,False
tqwt_entropy_log_dec_3,TQWT,0.0,0.0,550.0,229195.11805249334,252,0,False,False
tqwt_entropy_log_dec_2,TQWT,0.0,0.0,550.0,257700.22615596975,252,0,False,False
tqwt_entropy_shannon_dec_34,TQWT,0.0,0.0,550.0,5.328345081904087,252,0,False,False
tqwt_entropy_log_dec_24,TQWT,0.0,0.0,550.0,3738.6214930767987,252,0,False,False
tqwt_entropy_log_dec_23,TQWT,0.0,0.0,550.0,3979.736865453828,252,0,False,False
tqwt_entropy_log_dec_22,TQWT,0.0,0.0,550.0,4511.929671522676,252,0,False,False
tqwt_entropy_log_dec_20,TQWT,0.0,0.0,550.0,6410.03975049965,252,0,False,False
tqwt_entropy_log_dec_19,TQWT,0.0,0.0,550.0,8299.703128793033,252,0,False,False
tqwt_entropy_log_dec_17,TQWT,0.0,0.0,550.0,14050.771863655384,252,0,False,False
tqwt_entropy_log_dec_15,TQWT,0.0,0.0,550.0,20714.182230460912,252,0,False,False
tqwt_entropy_log_dec_14,TQWT,0.0,0.0,550.0,24818.801790473233,252,0,False,False
tqwt_entropy_log_dec_10,TQWT,0.0,0.0,550.0,50976.8236584125,252,0,False,False
Ed_4_coef,Wavelet,0.0,0.0,550.0,0.017625433205536556,249,0,False,False
std_1st_delta_delta,Delta / Delta-delta,0.0,0.0,550.0,0.017671242020211492,251,0,False,False
std_4th_delta,Delta / Delta-delta,0.0,0.0,550.0,0.01688251716114789,252,0,False,False
std_3rd_delta,Delta / Delta-delta,0.0,0.0,550.0,0.020172241969243155,252,0,False,False
tqwt_TKEO_mean_dec_2,TQWT,0.0,0.0,550.0,2.5912427817687636e-05,251,0,False,False
tqwt_TKEO_mean_dec_1,TQWT,0.0,0.0,550.0,1.7259640328283468e-05,246,0,False,False
tqwt_entropy_log_dec_36,TQWT,0.0,0.0,550.0,868.3082300183194,252,0,False,False
tqwt_entropy_log_dec_30,TQWT,0.0,0.0,550.0,1341.3070928567247,252,0,False,False
tqwt_TKEO_mean_dec_22,TQWT,0.0,0.0,550.0,0.10772446600903253,252,0,False,False
tqwt_TKEO_mean_dec_20,TQWT,0.0,0.0,550.0,0.09346824965575641,252,0,False,False
tqwt_TKEO_mean_dec_19,TQWT,0.0,0.0,550.0,0.16383960169421077,252,0,False,False
tqwt_TKEO_mean_dec_18,TQWT,0.0,0.0,550.0,0.204714503716906,252,0,False,False
tqwt_entropy_shannon_dec_1,TQWT,0.0,0.0,550.0,10.545973478739274,252,0,False,False
tqwt_TKEO_mean_dec_14,TQWT,0.0,0.0,550.0,0.03320267536759841,252,0,False,False
tqwt_TKEO_mean_dec_13,TQWT,0.0,0.0,550.0,0.021324691875387308,252,0,False,False
tqwt_TKEO_mean_dec_11,TQWT,0.0,0.0,550.0,0.0011949459105969399,252,0,False,False
tqwt_TKEO_mean_dec_10,TQWT,0.0,0.0,550.0,0.000805132005962786,252,0,False,False
tqwt_kurtosisValue_dec_19,TQWT,0.0,0.0,550.0,0.8031524329368636,252,0,False,False
tqwt_TKEO_mean_dec_8,TQWT,0.0,0.0,550.0,0.0005830494978752444,251,0,False,False
tqwt_TKEO_mean_dec_7,TQWT,0.0,0.0,550.0,0.0002747427165832224,250,0,False,False
tqwt_TKEO_mean_dec_5,TQWT,0.0,0.0,550.0,0.0002917237353533592,252,0,False,False
std_2nd_delta_delta,Delta / Delta-delta,0.0,0.0,550.0,0.009719027555433005,252,0,False,False
tqwt_TKEO_std_dec_5,TQWT,0.0,0.0,550.0,0.0008929250605648288,251,0,False,False
tqwt_TKEO_std_dec_4,TQWT,0.0,0.0,550.0,0.00038552830400007435,249,0,False,False
tqwt_TKEO_std_dec_3,TQWT,0.0,0.0,550.0,0.00015338040198135578,249,0,False,False
tqwt_TKEO_std_dec_2,TQWT,0.0,0.0,550.0,7.13349332410746e-05,250,0,False,False
tqwt_TKEO_std_dec_1,TQWT,0.0,0.0,550.0,4.689207066773516e-05,251,0,False,False
tqwt_TKEO_mean_dec_36,TQWT,0.0,0.0,550.0,0.046502224912572054,252,0,False,False
f1,Formant / Bandwidth,0.0,0.0,550.0,128.72116943013583,252,0,False,False
tqwt_TKEO_mean_dec_34,TQWT,0.0,0.0,550.0,0.018477713690529016,251,0,False,False
